monster_id,monster_name,monster_type,danger_level,created_date,base_price,status,preserve_date,preserve_danger,preserve_price,original_price_negative,duplicate_row
M001,Venomtail,vampire,6,2026-01-05,6371.0,inactive,1/5/26,6,"$6,371.00",False,False
M002,Rotjaw,undead,9,2026-01-05,7835.0,active,1/5/26,9,"$7,835.00",False,False
M003,Cinderwing,undead,7,2026-01-05,7227.0,active,1/5/26,7,"$7,227.00",False,False
M004,Grimtooth,ghost,7,2026-01-05,10437.0,active,Jan 5 2026,7,"$10,437.00",False,False
M005,Mist Walker,ghost,2,2026-01-05,2301.0,unknown,2026/01/05,2,"$2,301.00",False,False
M006,Frostfang,ghost,8,2026-01-05,9744.0,inactive,1/5/26,8,"$9,744.00",False,False
M008,Swamp Maw,beast,5,2026-01-05,1319.0,unknown,2026/01/05,5,"$1,319.00",False,False
M009,Voidwing,vampire,10,2026-01-05,9911.0,active,2026/01/05,10,"$9,911.00",False,False
M010,Venomtail,zombie,8,2026-01-05,1003.0,testing,2026-01-05,8,"$1,003.00",False,False
M011,Grimtooth,dragon,5,2026-01-05,3171.0,active,1/5/26,5,"$3,171.00",False,False
M013,Bloodfang,zombie,6,2026-01-05,1372.0,active,2026-01-05,6,"$1,372.00",False,False
M014,Ashcrawler,vampire,4,2026-01-05,2243.0,testing,2026/01/05,4,"$2,243.00",False,False
M016,Crypt Stalker,dragon,10,2026-01-05,10654.0,active,Jan 5 2026,10,"$10,654.00",False,False
M017,Rotjaw,vampire,7,2026-01-05,6211.0,testing,Jan 5 2026,7,"$6,211.00",False,False
M019,Bone Rattler,undead,10,2026-01-05,3500.0,active,2026-01-05,10,"$3,500.00",False,False
M021,Grimtooth,vampire,7,2026-01-05,6777.0,inactive,2026/01/05,7,"$6,777.00",False,False
M022,Ironhide,vampire,8,2026-05-01,500.0,testing,05-01-2026,8,-500,True,False
M023,Frostfang,dragon,8,2026-05-01,13770.0,unknown,05-01-2026,8,"$13,770.00",False,False
M024,Cinderwing,ghost,6,2026-01-05,11655.0,unknown,Jan 5 2026,6,"$11,655.00",False,False
